ID,KOR,ENG
M000,머쉬베,Mushbae
M001,머쉬브로,Mushbro
M002,시드풋,Seed-foot
M003,플라워퐁,Flower-pong
M004,미니웹,Mini-web
M005,스파이크더,Spikeder
M006,할로윈벳,Halloween-bat
M007,블러디벳,Bloody-bat
M008,베이,Bay
M009,거스,Gus
M010,라스,Wrath
M011,피카베,Peekabae
M012,피카부,Peekaboo
M013,프라이드,Pride
M014,피어,Fear
M015,앤비,Envy
M016,악몽,Nightmare
RNDEVT1_NAME,강한 바람,
RNDEVT2_NAME,숲 속 샘,
RNDEVT3_NAME,물이 담겨 있는 식물,
RNDEVT4_NAME,잃어버린 가방,
RNDEVT5_NAME,선홍빛 과일,
RNDEVT6_NAME,몬스터의 소리,
RNDEVT7_NAME,어두운 길,
RNDEVT8_NAME,푸른 색 과일,
RNDEVT9_NAME,잠겨있는 상자,
RNDEVT10_NAME,빠른 돌진,
RNDEVT11_NAME,쉬고있는 새,
RNDEVT12_NAME,붉은 빛의 버섯,
RNDEVT13_NAME,가시 박힌 상자,
RNDEVT14_NAME,나무에 걸린 쪽지,
RNDEVT15_NAME,빛에 반응하는 쪽지,
RNDEVT16_NAME,가시나무 속 쪽지,
RNDEVT17_NAME,신비한 약초,
RNDEVT18_NAME,벌꿀,
RNDEVT19_NAME,푸른 빛 버섯 ,
RNDEVT20_NAME,마른 하늘의 비,
RNDEVT21_NAME,야생 동물,
RNDEVT22_NAME,함정,
RNDEVT23_NAME,도둑맞다,
RNDEVT24_NAME,뽀족 바위,
RNDEVT25_NAME,흐르는 물,
RNDEVT26_NAME,숨다,
RNDEVT27_NAME,작은 친구,
RNDEVT28_NAME,작은 친구의 선물,
RNDEVT29_NAME,네잎 클로버,
RNDEVT30_NAME,기분 좋은 발걸음,
RNDEVT31_NAME,수풀에 둘러싸인 연못,
RNDEVT32_NAME,무리에서 떨어진 몬스터,
RNDEVT33_NAME,특이하게 생긴 상자,
RNDEVT34_NAME,사람들의 흔적,
RNDEVT35_NAME,비어있는 오두막,
RNDEVT36_NAME,동물 쉼터,
RNDEVT37_NAME,비 피하기,
RNDEVT38_NAME,따끔한 벌레,
RNDEVT39_NAME,작은 도둑,
RNDEVT40_NAME,동물 사냥,
RNDEVT1_DESC,"강한 바람이 불어오는 소리가 들려 바람이 불어오는 방향을 바라보니 쪽지가 바람에 날려 가는 것이 보인다. 
지금 날리고 있는 높이로는 뛰어서 쫓아간다면 충분히 손으로 잡을 수 있을 것 같다.
뛰어가서 잡아볼까?",
RNDEVT2_DESC,"물이 흐르는 소리를 따라 걷다 보니 물이 흐르고 있는 샘을 발견했다.
샘 주변에서 다른 소리는 안 들리니 잠시 쉬어가도 괜찮겠지?",
RNDEVT3_DESC,"길을 거닐다. 앞에 주머니처럼 생긴 식물을 발견했다.
약초학자가 책을 찾아보니 주머니 안에 있는 물은 마실 수 있는 물이라고 말한다.",
RNDEVT4_DESC,"나무에 찢어져 내용물이 새어 나온 가방이 걸려있다. 마을 약초꾼들이 약초를 캘 때 사용하는 가방인데 무언가를 보고 급하게 도망치면서 챙기지 못한 듯하다.
가방의 안쪽에 사용할 수 있는 물건이 있는지 확인해 볼까?",
RNDEVT5_DESC,"달콤한 향기에 이끌려 걸어간 곳에는 선홍빛 과일이 있었다.
평소에 지친 몸을 회복하기 위해 먹던 과일과 같아 먹으려고 했으나 약초학자가 잘 모르는 음식은 먹으면 안 된다고 말린다. 
과일을 먹어볼까?",
RNDEVT6_DESC,"뒷쪽에서 다수의 몬스터들이 다가오는 듯한 소리가 들려온다.
잠시 숨어서 몬스터들이 지나가는 것을 기다려야 할 것 같다.
주변에 있는 풀 숲을 더 크게 꾸미거나 옆에 있는 큰 나무 뒤에 잠깐 숨어서 기다릴 수 있을 것 같다.
어느 쪽에 숨어야 할까?",
RNDEVT7_DESC,"숲 깊은 곳까지 들어오니 주변이 많이 어둡다.
가시 나무가 크게 자라나 있어 랜턴을 밝게 비춰 길을 잘 보며 걸어가야 할 것 같은데 랜턴을 더 강하게 할까?",
RNDEVT8_DESC,"풀숲에서 풍겨오는 새콤한 향기에 잠시 길을 멈추고 풀숲을 헤쳐보니 푸른색의 과일이 있었다.
예전에 즐겨 먹었던 푸른색 과일이랑 비슷하게 생겼지만 비슷하게 생긴 독이 있는 과일 일 수 있다. 
어떻게 할까?",
RNDEVT9_DESC,"길 위에 잠겨있는 작은 상자가 있다.
상자를 흔들어보니 안쪽에는 물건이 있는 거 같다. 
힘으로 열면 안에 있는 물건을 챙겨갈 수 있을 거 같은데 약초 학자는 마녀의 함정일 수 도 있으니 지나가자고 한다.
어떻게 할까?",
RNDEVT10_DESC,"시끄러운 소리가 들려 앞을 바라보니 몬스터 한 마리가 우리를 향해 빠르게 돌진하고 있었다.
한 마리이지만 너무 빠르게 다가오고 있기 때문에 활로 맞출 수 없을 것 같다.
랜턴 빛을 강하게 비춰 몬스터가 피하게 만들거나 부딪치는 순간에 맞춰서 옆으로 피해야 할 것 같다.
어떻게 할까?",
RNDEVT11_DESC,"부스럭 소리가 나서 둘러보니 새 한 마리가 깃털을 정리하고 있었다.
거리가 가까워 돌을 던지거나 화살로 쉽게 맞출 수 있는 거리 같은데 어떻게 할까?",
RNDEVT12_DESC,"바위 사이에서 은은한 붉은빛이 감도는 버섯을 찾았다.
예전에 화려한 버섯은 독이 있다고 듣긴 했는데...
한 번 먹어볼까?",
RNDEVT13_DESC,"나무 사이에 가시가 박혀있는 상자를 찾았다.
조금 열려있어 내용물을 살짝 들여다보니 랜턴 오일이 있다.
상자의 자물쇠 부분이 낡아 있어 돌로 내려치면 쉽게 열리겠지만
오일병이 깨질것 같고 손으로 열면 손에 상처가 나 아플 것 같다 어떻게 할까?",
RNDEVT14_DESC,"약초학자가 잠시 길을 멈추고 손짓으로 나무 위를 가르켰다.
그곳에는 쪽지가 있었지만 높은 곳에 걸려있기 때문에 나무를 타면 피곤할 것 같다.
주변에 있는 돌을 던져서 쪽지를 떨어트려볼까?",
RNDEVT15_DESC,"길에서 아무것도 적혀있지 않은 쪽지를 찾았다.
랜턴을 가까이하니 글씨가 조금씩 생기는 것 같다.
시간이 조금 걸리지만 기다리거나 랜턴 빛을 강하게 비춰보면 금방 내용을 확인 할 수 있을 듯 하다.
어떻게 할까?",
RNDEVT16_DESC,"가시나무속에 쪽지가 보인다. 
손을 뻗어서 충분히 가져올 수 있는 거리이지만 꺼내는 중에 쪽지가 찢어져 내용을 확인하지 못할 것 같고 손이 다칠 것 같다.
어떻게 할까?",
RNDEVT17_DESC,"빛의 밝기에 따라 색이 다르게 보이는 신비한 약초를 발견했다.
약초 학자의 말로는 랜턴 빛을 강하게 쬐어준다면 체력을 회복시켜주는 약초로 사용하는 것이 가능한다고 한다.
랜턴 빛을 강하게 해볼까?
",
RNDEVT18_DESC,"달콤한 향기에 이끌려 걷다 보니 나무에서 벌집을 발견했다!
주위에 벌들이 있어서 가져오기는 힘들 것 같지만 어떻게 잘 하면 가져올 수 있을 거 같다. 
가져올까?
",
RNDEVT19_DESC,"어두운 숲속에서 은은하게 푸른빛으로 빛나고 있는 버섯을 찾았다.
약초 학자의 말로는 푸른 버섯은 약한 독이 있지만 빛을 비춰 해독이 가능하다고 한다.
랜턴의 빛으로 해독하고 먹어볼까?",
RNDEVT20_DESC,"마른하늘에 갑자기 비가 쏟아지기 시작했다.
주변을 둘러보니 큰 나무가 있어 잠시 쉬어갈 수 있을 것 같다.
잠시 나무 밑에서 시간을 보내며 비가 그치길 기다렸다 갈까?",
RNDEVT21_DESC,"시끄러운 소리가 들려 자세를 낮추고 앞을 주시했다.
지나가려고 했던 길목에 굶주린 야생 동물 무리가 있었다.
가방에 있는 물건으로 주의를 돌리고 그 사이에 지나가거나 조용하게 옆으로 돌아가면 될 것 같은데 어떻게 할까?",
RNDEVT22_DESC,"길에 함정들이 놓여져 있다. 아무래도 마녀의 몬스터들이 우리를 잡기 위해 설치해 놓은 것 같다.
함정의 구조를 살펴보니 시간이 조금 걸리겠지만 안전하게 함정을 분해하고 물건만 가져갈 수 있을 것 같다.
어떻게 할까?",
RNDEVT23_DESC,"앞에 수상해 보이는 풀 숲이 있다. 
풀 숲이 계속 움직이는 것을 보니 작은 몬스터가 숨어있는 것 같은데, 아무래도 우리가 지나가는 것을 기다리다 덮치려고 하는 것 같다.
랜턴 빛을 비춰서 쫓아내거나 작은 몬스터라서 피해갈 수 있을 것 같다 어떻게 할까?",
RNDEVT24_DESC,"뽀족하게 있는 바위 사이 틈에 쪽지처럼 보이는 것이 있다.
바위 사이에 상처가 생기겠지만 손을 넣어서 꺼내거나 주변에 긴 나뭇가지를 주워와
꺼내봐야할 것 같다.",
RNDEVT25_DESC,"물 흐르는 소리가 들려 따라 걷다 보니 조금 멀리 물웅덩이가 보이기 시작했다
거리가 좀 멀지만 물의 색이 조금 이상해보인다.
마치, 마녀가 쓸 것 같은 약물의 색인거 같다.
어떻게 할까?",
RNDEVT26_DESC,"길을 걷다 주변을 살펴보니 몬스터들이 있었던 흔적을 발견했다.
언제 몬스터들이 있었는지는 잘 모르겠지만 아직 근처에 있을 수 있으니
잠시 풀숲에 숨어서 상황을 지켜보고 길을 지나갈까?",
RNDEVT27_DESC,"나무 사이에 작은 동물이 쓰러져 있는 것이 보인다.
먹기에는 너무 작아 신경쓰지 않고 지나가려 했지만 약초학자가 동물이 불쌍해 신경쓰인다고 한다.
작은 동물 친구를 도와줄까?",
RNDEVT28_DESC,"지난 번에 도움을 줬던 작은 동물 친구가 앞에 나타났다.
작은 친구는 마치 자기를 따라오라는 듯이 행동을 하는 데 어떻게 할까?",
RNDEVT29_DESC,"잠시 쉬어가는 중 약초학자가 잡초들 사이에서 뭔가를 찾아 웃으며 가져왔다.
네잎 클로버라는 것인데 행운을 불러오는 신비한 풀이라고 한다.
행운을 불러오는 풀이라 흥미가 생긴다.
나도 한번 찾아볼까?",
RNDEVT30_DESC,"기분 좋은 발걸음으로 길을 걷다 갈림길을 맞이했다.
지난번에 행운을 불러주는 네잎클로버를 찾아서인지 불행한 일이 생기는 것 같지 않다.
앞에 보이는 갈림길에서도 분명 좋은 일이 생길 것 같다",
RNDEVT31_DESC,"물이 흐르는 소리가 들려 주변을 둘러보니 작은 연못이 있었다. 
연못 주변에는 우거진 수풀이 자라있어 물을 마시거나 주변 수풀을 뒤져보며 쓸만한 물건이 있는지 찾아볼 수 있을 것 같다. 
어떻게 할까?",
RNDEVT32_DESC,"이상한 소리가 들려 주변을 살펴보니 무리에서 떨어진 몬스터가 보였다.
자신이 속해있던 무리에서 떨어진 지 꽤 오래되어 많이 지쳐 보인다.
랜턴 빛을 비추고 화살을 쏘면 금방이라도 쓰러질 것 같은데 어떻게 할까?",
RNDEVT33_DESC,"길에 특이하게 생긴 상자가 덩그러니 놓여있어
살펴보았더니 열쇠 구멍이 지난번에 연못에서 찾은 특이하게 생긴 열쇠가 딱 맞을 것 같지만
마녀가 우리를 잡기 위해 놓은 함정일지도 모른다.
어떻게 할까?",
RNDEVT34_DESC,"사람들이 있던 흔적이 있는 곳에 도착했다.
아마도 마을 사람들이 나를 찾기 위해 여기까지 왔다 돌아간 것 같다.
둘러보니 오래되고 적은 양이지만 오일과 포션을 만들 수 있는 재료가 있어 내가 가진 재료를 더 해 만들 수 있을 것 같다.
어떻게 할까?",
RNDEVT35_DESC,"길에 덩그러니 오두막이 있었다.
오두막에 가까이 다가가 주변을 살펴보니 사용된 지 오래돼 보였다.
문이 열려있어 시간만 충분하다면 오두막을 둘러보며 쓸만한 물건을 찾아볼 수 있을 것 같다.
어떻게 할까?",
RNDEVT36_DESC,"동물 소리가 들려 가까이 다가가 보니 여러 동물이 물을 마시며 쉬어가는 연못을 찾았다.
편히 쉬는 동물들을 보니 안전하게 쉬어갈 수 있는 곳처럼 보인다.
잠시 쉬어갈까?",
RNDEVT37_DESC,"숲이 평소보다 어두워 보여 하늘을 바라보니 금방이라도 비가 내릴 것 같아
주변을 둘러보니 동굴과 나무 주변에 비를 피하려고 동물들이 모여있었다.
어디서 비를 피하는 게 좋을까?",
RNDEVT38_DESC,"팔에 따끔한 느낌이 들어서 확인해보니 벌레한테 물렸는지 부어오르고 있었다.
어떤 벌레인지는 모르겠지만 약초학자가 독 벌레일 수도 있어 제대로 치료하고 가야 한다고 한다.
어떻게 할까?",
RNDEVT39_DESC,"길에서 잠시 쉬는 도중에 작은 동물이 우리 가방에서 물건을 훔쳐서 도망쳤다! 
작은 동물은 재빠르게 도망치고 있지만 금방 쫓아 물건을 되찾을 수 있을 것 같다. 
어떻게 할까?",
RNDEVT40_DESC,"쾅 하고 큰 소리가 들려 다가가 살펴봤더니 사냥을 끝마친 동물이 쉬고 있었다.
사냥한 직후라 방심한 지금 공격해 사냥한다면 충분히 사냥할 수 있을 것 같다. 
어떻게 할까?",
RNDEVT1_SEL1NAME,달려가 잡아본다.,
RNDEVT2_SEL1NAME,쉬지 않고 지나간다.,
RNDEVT3_SEL1NAME,마신다.,
RNDEVT4_SEL1NAME,확인하지 않는다.,
RNDEVT5_SEL1NAME,먹지 않는다,
RNDEVT6_SEL1NAME,풀 숲에 숨는다.,
RNDEVT7_SEL1NAME,랜턴 빛을 더 강하게 한다,
RNDEVT8_SEL1NAME,먹지 않는다.,
RNDEVT9_SEL1NAME,열지 않는다.,
RNDEVT10_SEL1NAME,랜턴 빛을 강하게 한다.,
RNDEVT11_SEL1NAME,화살을 쏜다.,
RNDEVT12_SEL1NAME,먹지 않는다.,
RNDEVT13_SEL1NAME,손을 사용해 연다,
RNDEVT14_SEL1NAME,"나무를 타고 올라간다. 
",
RNDEVT15_SEL1NAME,랜턴을 밝게 한다,
RNDEVT16_SEL1NAME,손을 뻗어 가져온다,
RNDEVT17_SEL1NAME,랜턴 빛을 강하게 한다.,
RNDEVT18_SEL1NAME,빨리 뛰어 가져온다,
RNDEVT19_SEL1NAME,랜턴 빛을 강하게 한다,
RNDEVT20_SEL1NAME,잠시 쉬었다 간다.,
RNDEVT21_SEL1NAME,가방에 있는 물건을 던진다,
RNDEVT22_SEL1NAME,함정을 해제하고 물건을 챙겨간다.,
RNDEVT23_SEL1NAME,쫓아낸다,
RNDEVT24_SEL1NAME,손으로 꺼낸다.,
RNDEVT25_SEL1NAME,마시지 않는다.,
RNDEVT26_SEL1NAME,풀 숲에 숨는다.,
RNDEVT27_SEL1NAME,도와준다.,
RNDEVT28_SEL1NAME,따라간다.,
RNDEVT29_SEL1NAME,찾아본다.,
RNDEVT30_SEL1NAME,왼쪽길,
RNDEVT31_SEL1NAME,연못에서 물을 마신다.,
RNDEVT32_SEL1NAME,공격한다.,
RNDEVT33_SEL1NAME,열쇠를 사용해 열어본다.,
RNDEVT34_SEL1NAME,오일을 만든다.,
RNDEVT35_SEL1NAME,안쪽을 둘러본다.,
RNDEVT36_SEL1NAME,쉬어간다.,
RNDEVT37_SEL1NAME,동굴로 간다.,
RNDEVT38_SEL1NAME,치료하고 간다.,
RNDEVT39_SEL1NAME,쫓아간다.,
RNDEVT40_SEL1NAME,사냥한다.,
RNDEVT1_SUC1DESC,"쪽지를 붙잡는 데 성공했다.
(쪽지 내용)
잊어버리기 전에 다이어리에 적어두자.",
RNDEVT2_SUC1DESC,"쉬지 않고 지나간다.
지금은 빨리 숲에서 탈출하고 싶다.",
RNDEVT3_SUC1DESC,적은 양의 물이었지만 나눠 마시고 길을 나섰다,
RNDEVT4_SUC1DESC,"찢어져 있는 가방에는 아무것도 없을 거야
빨리 지나가자",
RNDEVT5_SUC1DESC,"나보다 약초나 숲을 잘 알고 있는 약초학자의 말을 안 들어서 좋을 건 없다.
아쉽지만 먹지 말고 지나가자.",
RNDEVT6_SUC1DESC,"주변에 가장 우거진 풀숲을 다른 풀숲까지 합치고 몸을 숨겼다.
몸을 숨기고 얼마 지나지 않아 몬스터의 무리가 앞을 지나갔다.
다행히도 풀숲까지 찾아보지 않아서 발견되지 않았다.",
RNDEVT7_SUC1DESC,"랜턴 빛을 비춰 길을 더 밝게 하니 길이 잘 보인다.
어두워서 제대로 못봤었지만 가시 나무들이 빼곡하게 자라있어서 잘못했다면 가방이 찢어져 물건을 잃어버렸을 지도 모르겠다.
....
길을 지나고 가방을 확인해보니 다행이도 가방이 찢어진거 같지는 않다.",
RNDEVT8_SUC1DESC,괜히 모르는 과일을 먹어서 몸 상태가 안 좋아질 수 있으니 먹지 않고 길을 나섰다.,
RNDEVT9_SUC1DESC,"상자의 내용물이 조금 아깝지만 약초 학자의 말처럼 마녀의 함정일 수도 있다.
상자를 다시 내려놓고 길을 나섰다.",
RNDEVT10_SUC1DESC,"우리는 랜턴 빛을 강하게 해서 몬스터가 달려오는 것을 막기로 했다.
...
랜턴 빛을 강하게 비췄더니 작은 몬스터는 놀라며 도망쳤다.",
RNDEVT11_SUC1DESC,"숨을 죽이고 활을 조준했다.
새가 빈틈을 보여 틈을 놓치지 않고 쐇다!
...
화살은 새를 정확하게 명중했고 우리는 새에게 다가가 정리하고 가방에 넣었다.",
RNDEVT12_SUC1DESC,"약초학자의 말도 일리가 있고 예전에 사냥을 하면서
산에서 화려한 건 독이 있어서 조심해야 한다고 했어 확실하지 않으니 먹지 말고 지나가자.",
RNDEVT13_SUC1DESC,랜턴 오일은 많이 있으면 좋으니 손이 조금 아프지만 상자를 열어서 랜턴 오일을 챙겼다.,
RNDEVT14_SUC1DESC,"나무를 타고 올라간다.
사냥감을 찾기 위해서 배운 나무를 타는 방법을 배워두길 잘한 거 같다.
빠르게 올라가 쪽지를 가져왔다.
(쪽지 내용)
잊어버리기 전에 다이어리에 적어두자.",
RNDEVT15_SUC1DESC,"랜턴 빛을 밝게 만들었더니 쪽지에 글자가 보이기 시작한다.
(쪽지 내용)
잊어버리기 전에 다이어리에 적어두자.",
RNDEVT16_SUC1DESC,"손을 조금 뻗어 쪽지를 가져왔다.
손이 조금 다쳤지만 쪽지를 온전히 가져와서 다행이다.
(쪽지 내용)
잊어버리기 전에 다이어리에 적어두자.",
RNDEVT17_SUC1DESC,"랜턴 빛을 강하게 하여 약초에 빛을 쬐어주었다.
약초에 빛을 쬐어주니 약초의 색이 조금 변했다.
약초 학자가 지금 먹으면 된다고 해서 약초를 먹었더니 몸에서 힘이 조금 나는 것 같다.",
RNDEVT18_SUC1DESC,"나무에 있는 꿀을 채취하기 하려면 벌들이 있어서 조금 쏘여서 아플 것 같지만 빠르게 다녀오면 괜찮겠지!
...
벌에게 조금 쏘였지만 다행히도 나눠먹을 만큼의 꿀은 챙겨왔다.
함께 꿀을 나눠먹고 길을 나섰다.",
RNDEVT19_SUC1DESC,"랜턴 빛을 강하게 해서 버섯에 충분히 빛을 흡수시켜 독을 해독했다.
맛은 그럭저럭이었지만 몸이 가벼워지는 느낌이 든다.",
RNDEVT20_SUC1DESC,"나무 밑에서 잠시 비를 피하며 쉬어가기로 했다.
약초 학자와 함께 비를 보며 잠시 쉬었다.
....
얼마 지나지 않아 비는 그쳤고 다시 길을 나섰다.",
RNDEVT21_SUC1DESC,"가방에 있는 물건을 던져 시선을 돌리고 길을 지나가기로 했다.
가방에 있는 물건을 던져서 동물들의 시선을 돌리고 빠르게 길을 지나갔다.",
RNDEVT22_SUC1DESC,"몬스터들이 설치한 함정의 구조를 이해하는 데 시간이 조금 걸렸지만 완벽하게 해제하는 데 성공하여
함정에 있던 물건를 가방에 넣고 길을 나섰다.",
RNDEVT23_SUC1DESC,"랜턴 빛을 강하게 해 몬스터를 쫓아내기로 했다.
풀 숲 근처로 이동하니 몬스터가 달려들었지만 랜턴 빛을 강하게 비췄더니 도망갔다.",
RNDEVT24_SUC1DESC,"바위 틈이 좁지만 손을 넣어 쪽지처럼 보이는 것을 꺼냈다.
꺼내는 과정에서 손에 상처가 났지만 다행히도 쪽지였다!
(쪽지 내용)
잊어버리기 전에 다이어리에 적어두자.",
RNDEVT25_SUC1DESC,"목이 좀 마르지만 안전하지 않은 물을 마시는 건 좋지 않은 생각인 것 같다
마시지 않고 길을 재촉했다.",
RNDEVT26_SUC1DESC,"풀숲에 숨어 잠시 상황을 살폈다.
잠시 후 몬스터들이 모이더니 무슨 이야기를 나누다 이동했다.
이제 길을 나서도 될 것 같다.",
RNDEVT27_SUC1DESC,"약초학자가 계속 신경쓰일 것 같아 작은 동물 친구를 도와주기로 했다.
약초학자는 능숙하게 상처를 파악하고 치료하는 데 도움이 되는 약초를 발라 도움을 주고 길을 나섰다.
작은 동물 친구는 우리가 나서는 길을 계속 바라보았다.",
RNDEVT28_SUC1DESC,"약초학자가 의기양양하게 따라가자고 한다.
작은 동물 친구를 따라가니 그 곳에는 요리 재료가 있었다.
적은 양이지만 빠르게 챙기고 길을 나섰다.",
RNDEVT29_SUC1DESC,"방금 약초학자가 찾아온 잡초 사이에서
똑같이 생긴 풀을 찾아보자
...
잠시 길을 멈추고 풀숲을 뒤졌다.
아까 약초학자가 찾은 것 보다는 작지만 네잎 클로버를 찾았다!
약초학자에게 자랑하고 기분 좋게 길을 나섰다.",
RNDEVT30_SUC1DESC,"왼쪽길을 따라 걷다보니 평소의 숲보다 따뜻해보이는 분위기의
쉬어갈 수 있는 장소가 있었다.
잠시 지친 몸을 쉬고 다시 길을 나섰다.",
RNDEVT31_SUC1DESC,연못에서 물을 충분히 마시고 길을 나섰다.,
